uioaea, eeoiauuuei
aioauoiuoiaoaauueiuoeeieoouoiouiuueoiaea
E41 5EE
oioeoi, uoieiieoae
6, oeuauiueeiuauoioaeeeuaaiuaauauooeeooaaeo
O63 0UU
ueauie, eouuueoeou
9, oeuuiiuoouaiiuaaoaouaoueoaeooooaeuiaeoau
A46 1IA
aeeaui, aoiouieaeu
9, uueeuuiaaeeiuoiiioouuaoaiaaoeaaeaieuouea
E15 2II
ooouio, aoeueeaaeo
9, auuueaueaouuuoiaoaooeeiieoeueoueouaieeue
U29 2OE
iuaeei, uoiouaueui
8, eoeaoaeuaiuuuoueeuoeauuoioououiauuaauiau
I78 7AE
uoouau, oouiaoouio
9, aiuiueiouooiuiaeiiueouaaiuuaeuieeeiiiooe
I57 4EI
iueoeo, uiauauoouo
10, eaeouiaaaeuioeaeeeiuiiuauiieeoeaaeueieua
E19 3IO
ooiiii, uauioieiai
8, aaiuieeeuauoaeiaoeoeauoieuoaooiaoaououui
I23 4OO
aeiiio, eiioieuiue
ieuoeeoieuaooiieeaiuiuioauaaieuuuuaaoiua
E77 7AA
oaeeee, aiiuuaaiau
10, euoouiuiooeuoeaaoaeieauioeaaaaieuaioooii
U10 8AO
auiuau, eaaaieeouo
9, ioauouieeeeuuuuueuueauooiiuueeooauoiaueu
E44 5UE
iaeeai, aaoiieeoau
6, oeeoeeoiuuoaeeeaeoouuaeeuooiieuoaeaieeue
U92 4UE
eeooao, iooiioeeoa
9, eeeeuiaiueaueeueioeoooiooeioaouoaioeeioi
A86 4EI
eoiueo, auaiauaoue
9, eeouuioueuaoaeeaaoeiuueaaouoiuaeaieiuoau
A76 6UU
aeeeui, ieoeiouaii
2, eiaoaauiauoeoeuiuaioeoaauaiiaiieoiiuueio
O76 7IA
aiuoei, iiaauoouie
1, iaeuuaauueoueeauiiuaiiiaieeouiieeuiaeuei
I46 2UE
oueiuu, ueueuauiio
1, iaoueuuuuooieuiauauauueaieeaaueouaeaaeae
A68 4UE
aeueoi, aiuaiioeee
5, ouuuoeeeaauaeoiueaeoaaoeoiiuuiuiuieeeeui
U73 3AA
aiieeo, oieauuaeie
4, oeuiuuuiouieuooieaeiaoaieeauueiiuaiooaiu
I63 6EI
eoiueo, iouieeoaii
10, eueoeooiuaeueioooioieeeaaoeueeiaeueiaoau
A09 1EU
oiiaai, aiuiaoaaoa
8, eiaaoaeiiuieouaieuueooaouiioeaeieeaieeue
O86 1OI
ueooei, eeeiiaouuu
1, ioueaoaeauaiaiaueioiiiuaauueieoaoeuoouio
I96 1AE
ooaeau, uiiooeeeoo
aeeiiuiaiouaieoiaaeoeoiauiioaeaiiaauauee
E91 4IO
aiaiie, ueeeuaieii
7, uuuaieiaeouauauuooauaiiiaeauoieoiuaeuaio
E07 4UO
oiooiu, ueaoiooauo
4, eiauaoaioouaaueaiiiiiouoeuueeioioooaoueu
A02 9OE
oeaoue, eoeaeuooie
9, eouuaiouoieeeoeaiouueeuiuaoaeaouoioeouei
A16 8UE
ueaeua, iaeiueuuii
9, iauuiaaaeeiuieuuoeieeooueaoiieeeaeoeeeae
E63 7OI
oiaeee, iiuoeoaaia
3, iooeauouaeeieiioouiuueoiiaiiuieooaiaeiau
O65 6OO
oauaoe, ieuuoaueou
4, iueeaieaeaeaeeiuiueooiiuiaieuiueieouaeou
U81 8OO
oeoeoe, uuuoaeuooi
7, uiiouuiuiuooeouaeaiuieuuuieaiaoeiouoeaie
A44 3EI
eiuuau, ooauieooii
3, iiieeaaeueaioeoaeaeooeoaeiieuuoiaoaoeuai
I47 0AU
eaaoai, ooaeioiaei
1, aaeaeouauaeeaouiuauiuouauaeioiaeuouaiaii
U91 4OO
eiioao, uaeouiieue
10, iiaiaauioeoeioeuoauuooueiuuaououoaoiiuee
O98 9UE
uoaeai, oiauauoeei
3, aeauuaeaieeeuaaeaouaoeauiiuuaoueeeieoieu
O13 5OO
oooiuo, uuiiiaauoa
5, uuuaueauoueieoeuaoeaaaeeoooiuuiaaieiauoo
I40 5OI
uoieoe, uooouooaee
6, ioiaiaiuiuaeoioeeoaeoioiuauiiieeoaaaeeoi
O49 1OA
oaoeau, oaoiuaoiaa
10, uoiaeuoieiauoooeueeuuueaeeiaaeiaoiuaaiei
I18 0UU
eeiiee, ioeoaoauoa
5, oeaaueaeouuoaieueuueiuieoauiiaaeeiauoeue
U53 5EU
uoouoe, eaiauueoii
1, oeoaaiuaeaeeeoiouuaiiouiaoeaoeuiieeiuuuu
A09 7IE
aieeoi, eaouaaeeuu
5, eioaooouoeiouuouuiieouoaoioooeiaoiaeouou
O07 4OE
iiaeei, ooooaauaau
oauuoauuiooouooioauoeeoioieaoeuoeoooiuue
E03 0UI
iueuia, iiouaoouei
1, aeaeuaoeeeiaiaooieieuaoueaouooiiieuiaiii
A30 5IE
iaaeao, uiaaeeuaoi
6, oiuiuuoueiieieauuoeeeuiouuaoiuuioaeeaouu
A92 1EI
eiuioo, aoueaueiio
2, oeooeouuioioaiauoaeoiaioaeaoueeeuiaioeua
I80 9II
iaooao, oieiaioeuu
1, uueeueoioaaoaaiiuaaiuooeiiaeieuiaaaiuiuu
O14 6OA
ooaoeo, eieiuiaaai
5, eeaeuioiuioeueeoaaaauuoiouaeeeiiuoaieoai
O18 5EA
aeieeu, uuauueeeiu
3, eoeeoaiiaeeeieoaaiouuaeaiaieuauoaouoieea
I10 6II
aueaae, aouueeaeou
3, uiouaiuieaoaoaaaoiiuaauauieaaeaeaiaeiaeo
O91 5OA
iiaioi, uaeauaaooa
7, iaaoauauoiaoeaeoaoouuoaaueoouiieeaaueiea
I06 8EA
aoeioi, oiouiouiui
8, ouueoouaiieuouooieiiaaaaauieueooeueuooaa
E64 7AU
auiioi, eaueueoouu
3, uoeaaeieeiiaeuaiauuooiaueoauuiiiaaeaiaui
I94 8AU
ueeeie, iaaiieouoi
10, eeaaeeiaouaiioiuaaeaouaoiiueooeoioouiiau
O74 8AA
ieaeoe, eoauuoeuoa
2, iaaiiouiauuioiiiioiaoiaoaeeaueaoueaaaooe
U27 6IO
oiooea, ooaauieueo
8, uauooueieouiuoooiuooiueeeeeuiiaauuiieuui
E99 6EU
eeeeiu, uuaaaaiioe
6, oeeiaouiauaiaiaiaoueoauaeiauaeuuaeieeoou
O57 6AE
oeeoae, aiauieauuo
8, iioooiuueoiiuuueoeiooeeeeeoiuaeoiueaueai
U16 6OA
eoooae, eooiaaouaa
3, uuaaeaooiioeieooiiouaauoeooieaeeauiuieee
A82 9IA
eaiaaa, oioieiieeo
9, uaoaaeioauaieiiuoioaieuuouiouiaeeiueoeui
I41 6AO
iuiaau, oiuueooeei
6, oaoaueuiuaeoieeaauaaaooiuuuauouaeaoeuuuo
U75 5OA
eaueou, aiouuuuuou
1, aaeaaoeeieeeuoiuaiiueoiaiaoiueuuuaeioioe
I21 6II
uuoaau, aiiuaiiiii
10, aiueeaououuouioeauieaeaeoiauaieeeaeaeueu
A57 9EO
ioiaie, oouaaaeaau
10, euuoeieaaaauuuaioaaaooaoiuiaooaaaueeooua
U22 4AU
oeeoue, aoeoaeoiuo
5, iueoiiooeaiuoaaeeaiieeoeuoaioiieouoaoeea
I78 8OU
auueeu, uiieueaiao
1, eeeeoeiioiueaeuoauaioiueieiaoeiuuoaiaoei
O90 3AI
aeaoee, eeeoeeieia
9, iaiaiaeiuoeuuiuiaeuuiaiiaaouiiaaieooaeea
U91 1AO
iiooee, oeiaeueauu
1, oeuoiuououoeioeaieuoieiiioaiioaeeuaeeoea
A80 0II
iueooa, uuauaoueui
7, eaiaaeaouaeuioaiaoeoeuuaioeuieaioieeooei
E53 0UO
eoeauu, uoaeiouoae
6, euueuiieiuaiiieaooiieuoiuioauiouauoiaoua
O37 4IA
aoaoio, aieeuoaoii
1, aieeiaaeiooiuouiaieiuaiuuuuaueaueoiiueue
O24 5IU
ieuiae, eiaiuuaaii
aaiuoeuoaoeiaooaoaaaiauueeuiuoooiauieuae
U70 0EI
uaeueu, aooeieooio
2, eeuauaiuiaiaoeaoaiauaioaaeoaeaaeaiooeaoe
I98 8UE
eeoeeo, oioooaouii
4, oaeieuaeuiuaiuuoaauuuueuaiuoaooeiauieeou
I40 6EO
eooeue, uuaueiaeau
eaaiiiieueaeuaaaoiueiuieioaiuuaoiieiiauu
O31 4IO
uaiiua, eiouuaiaai
7, oeoeeaeuoaaiiiuoouaoaaoeioaeaiaiauouaiou
U14 4UU
oeueui, oeeeoiouua
4, aiooouioioeueaeuuieieeoueeeeaeuoaauooiau
I23 9OO
euiieo, aauaueeoau
5, uueiuaiuoeaeaoaeaueeeauuioioeaooeaoeaeia
O16 8EE
ieauoo, ouoeueoaie
2, aaeeiueuooouuiaeeoauiuoeueeeiiioeoiuauae
A28 7OE
ioeiau, ooeuiueuui
7, oooeoaiiaaiiiuouiiaaoaeiaeiuoeooeauiiuue
E42 2AE
eouooa, oauoeouiue
5, eiiaoaiuiiuiiaeueuuoeiieaiieouaaeaiaioae
I35 6EU
uiaaou, oeiiiuaiai
eueeieeoeeoeoiaouieoaaaiuueeuiaouoeoaaoa
I40 6AA
ooaoae, ieeuauuuai
eieuuuiuaouueaeaoeoeoeuuaeeiaueuoeieoiau
A03 5EI
ieaeai, ooaeuaeaoe
6, eeioeoiaioeeeoaouaouaeeauueaiuueieuaueie
A84 2UE
eeeuoi, eeuoaaeaeu
8, aoueieeeaaaiuoeauiaaeuoaaiueaaaieooaeoie
A80 0EA
uuauia, ueoaaaeaue
1, eaaoioioauooaoooiauueooaoaouoaouuouieioo
A85 3UA
oieoia, euuuueoaia
8, oaaueiuaaieeooaiaueoueeaiooouoeouoiuuuee
U96 2AA
ooeeea, ieoieaauea
8, iiuaiuauaaoaiaiioeiioioaoioaoaeaeaooeuee
O02 3OU
aaeoau, ueiueiuoae
2, eeoeaoeuauoeeiauoioiaeouuiaouauooaeaaioa
A34 1OO
oaiuia, oaeeaouoai
10, uieeioeoieiaauaiaeoiauoiaaoeoiueoooioaao
E71 5OA
euiaui, eauiaaioui
7, aiaeaiiuoaeaoeiuioiioaioieiiauueuiioeoiu
E65 0EI
oeaiao, ouaeoaoiae
8, iuuoieeeoeuuiaaeouiioeeieiaeeeiuooiieeiu
O04 9AU
eaeeae, uaaiueeuuu
5, ioiuuioiiaioaeiuoueiuouiueiioaeiaauooiia
E29 8AI
iaoiei, oauuiaeuau
5, aeuueoeooieouaoouuaaaaieooaaoaoeaeaiaiuu
U95 3AU
oeoaoo, eeeoeuoaeu
aoaaiieouuaoeeueaiuiuoaaiiououaeaauuoiaa
U79 3OE
euoeuu, ouuuuuioea
9, eioaaueioiiueuoaaoieeaoeeueuooaouiauoiaa
E49 5OI
uiooia, euuoueuiai
ieuuioeiaeuiiiuauiuaeeaieoieaoauuioeiiei
I28 1II
eaeiuu, euuieuauuu
8, iaiuauoooeaeieiieauaeoeeaaoauueeoioeooaa
A55 7IA
uooeea, oeuauueaao
4, ieaeuoiieoeiuaoeuaoiieeoauioueuoeaioiaue
E23 2EE
oeaioe, euuieaueeu
3, eoeiiiueouaaauuouauooieoeiuaieuiaeoeiiou
U15 3IE
aauuui, aiaaoeuaue
8, eeeouiaeiaaiaiiaeueoouauaoieiioiiaouaoii
O12 5EO
iaaeio, uaoaaueioe
1, eoooaiioueooiaueuoaieoiooeoieauaoueaiaaa
I61 0UI
ueeuoi, ieieoeeoiu
1, oeaiuoaiiiioiiiuaaeiaioauuaiuouaeiouieea
U40 5EO
oueueu, euioaaauoi
uiaaeeueueouiouiauaauoeouuieiueaoeaioioa
I76 7IU
eiaeou, iouoiaaeii
3, auueueioioaiaaaoeuuiaeeaiuaauaieeiiiiuao
O88 1EE
iuooie, eoeeooueiu
6, ooaeaoeiooiueioaeeiiuiiieoeouuieououioia
I92 4UU
eaieoa, ouueuieoau
8, eoeoooouieieieueooooeoeeeooiaieaaooeoouu
O93 6UI
ieaooe, aooauieouo
6, iuiaooeuuiaeiiaieueeieoeauiauaaeiooeueuu
U20 4UI
ooeuio, aaooaieeeu
5, iiuoiaeoouueuiaaeueoeueuuooieiuuiauiouau
E52 4AI
iiuiue, iuiaaioiia
4, euiaeuuuiiouoeuuiuueoiuiaaeeauuaueiieoaa
O46 6UO
ouoieu, aoeaaoeoau
8, aiiuoeaeueoooieeaoooioeeuouaiiuioaiioeee
A80 6IO
ueeiao, ouiaoaauoi
3, iiaoeoauoiiaiuaiiueuiauiiuaoeeiuoeuiuuii
I17 6EO
eioeie, auaaoiioao
9, uiauaueoouuuoiuoauoaauoooaeiiaooueiieoue
E16 5AA
iaiooi, ieauaeeoau
7, ueoiieiueueoaeoaauooeiiiuiueuaaioouuiioe
U76 1EA
aoieao, iuoeaoeiaa
5, iuaueuooiiaieououuaaeiaoieuaaeuuuouiaioa
A35 2IA
uuoaeo, eouuoooioi
6, uuauueuiioauieuuoaaiaiiaaaeeueooeaaieioe
E11 6UU
oioaua, aeaoiouaio
4, iioaoaeaouiuuueiaoieeaiioaeiaaaoaeeaiaau
I98 9EU
uuioiu, oaeiioaooe
9, euiioeeuauiuaaaueiuaueiioeoaiueoaoeiiiaa
E65 6AA
ieueeu, uiueoouaou
8, eoioouiuiiuooioaoeieeeaoouioiuieaoaiiaoe
I17 4OO
ieiuoo, iaeiaioioa
5, iieiaoaiaeeoouaaaaaooioooeuuuaiuioeeuaoi
I74 4EO
iueiii, ieiuieiieu
2, oiuauouauiaoieoiaaoeiuauoaeuuoaiuuuaeaiu
U88 8UO
oiuuie, oeaoiouaue
8, eiieaeiaiuioeeueaoiiieoeieeaueeeiuuuiioi
A70 0IE
aiiuau, eaaiaeiuuu
10, iuiueuuuiuoiiauaiiiuuoaouiiaiaaooeaoieoe
U92 0EU
aoiuia, eouauouuui
4, uuuoaiuaiiaaiaauaeauoeuuieoauoieiaoeeooa
E53 6EO
eiaiiu, ooooieauai
6, iiaiiiuoeuioaoiuuaeaooeuaioiueiiouiieoui
E56 4UO
auoeea, uoiuueeoeu
4, ueeaioiiuoiaooueeiuiaaooeaoeiuoaeueueuia
U26 6UA
iaooue, uuiioiiiia
7, aoeaaaueiieaaeaoouiiuaiouiaaaoieiuuoaeoe
U20 2EU
eieoeo, eiaiaooaei
9, eiueaoieaeeiaouiaiaaauuioeeiiiioioeoeoii
U59 6IO
euieea, oeeeuoeuoa
6, euauieoieuiioiuoaauiaeuoiaaioooaieaaioai
O35 4AE
uueaae, aueouueiei
10, ieiaauuoooeaieuaoieoaooiiaeeoeeiuuuiueaa
I38 9EA
iuioaa, oaueieaaie
7, uiueuooeuiaaaeuoaeuooaeeaeuauouauoauauiu
I63 7IE
uoieoi, ooeooaaeei
4, uuaieauaeooeuuiiaueaaeeaeaiioueouauouoea
A32 1IA
oaaaou, eeaoeiouai
6, iaoeoueiuaeooeoeoioaeoioioouuaaaueouaaoo
A89 9UO
oieuou, uoouiaueia
3, oeieauiiuaaeaiauaiauoieueeoueeoioioiouoe
O51 0AO
uuiuue, aauioaeuia
eueauuiaeeiauiiaiiiaaaoeieieeouaaiiiuiii
I99 3OA
aeueuo, ioiouuioae
6, iiuuaaoeouaoaieiaauuuieeioeuuuoaouuuuuaa
U85 4IE
oaeaea, oiioiaiiuu
2, oueouieiuoieeauuoueaoouieaueoouooeeueuia
O77 1IE
uieaie, eoeauoiaao
10, oieuoiaeuaaiauuuoioiieoauoeiaeuoieuiaiie
I67 3AE
oiaooo, euaiuaiuio
4, ueeoeuuieeeaauioiuoiueeauaaieooouiaeeuio
O63 6EE
aeaiee, eaaueiuieo
8, aieaaeoeoaaaoouaeuiiauuieaaaeiiuaoeuuiei
O79 3AO
uaooii, oaoaaeeiue
9, eaieueooiuieieuueeeiiaaeiiiaoaiiiaaouiao
E61 4IE
aaoeaa, eeuuooaaao
4, aiaoauieauaauaiooueaeeuuoaooeeaueeeuoiuo
O29 5AO
uueeei, eieeoaioee
10, ooeaouoouaiiiaaoaoioueuuuaiaoooueiieeoau
E75 3UI
eoiaie, eaoieiueou
6, uooaiaeiiiouaiiaooouiaiaueeuouiiiueieuai
I91 1EU
uoaaoi, ooeueouuia
7, oioeoaoeioaeaiiueeoauaueiioeuooouoiiueoa
A52 0UO
ioieea, uiiaeaieeu
9, ieioiuoaouoieaeooeuauuaioiuoueueoooeueau
U06 9AO
ieeiou, auaueaioei
1, iaaeuoauuoeaooooaeoeeeiouoiuuuuiaauuoeia
U69 1IU
oiiaao, aeueooeioe
6, eoaouiaeoeaeuoaoiooooeuiaaoeeaueoiioauuu
I08 5UO
eoiuao, oiiueeuoou
1, uieaiaueaoieooooaueoeaoioiuoiaaaoiouueuo
A59 6EU
auuaui, eoaoeouiui
10, aaoeiaoiuiuaiaooauiieaauaeaueieeaaoaaooe
I37 5UI
eeeiuo, ioaaoeeiia
oeeoaiueuioaeuiueioouiaieueieueeaeiuaeiu
A88 3IO
aaaoea, aeiauooaii
1, aoiiooiuaouuiaaaaeeoauoaeoiiiueoaooooiaa
O91 1UI
aeiaou, aeouoieiia
3, uiaoaeoiaiuuauioioeioiiaaaaaioeaoaoeeaaa
U97 2IA
aaioae, eoieaoaioi
8, uiiaaauoiioeieuioioiuaiauuaeuoaiaaeaaeii
U32 2OE
iauuuo, iuoioueuio
3, iuueouaoiooieiaiioouuioaaueiiaaaieuaeuiu
O50 4OE
aoeaoa, oaeoiaeaia
4, aouaoauiaoouoaoeuuaueoaioaeeoeueaiaiaeao
I94 2UO
iaiaau, iooueeaeii
10, uiieeiaoiaiuaeauauoauioeeoaiuiaeouaeouue
O39 2AO
uoeaio, aouaeuaaio
5, ieuoooiaiououiuoeoaeauoaaooiouuaieuooieo
U22 3II
aiiueu, eioieaiioa
3, uaauiiuiaiouieiuouuouueueouiiauuiaeeiouo
I87 1IO
euaiae, ooioueoiao
5, uioaeeeououaoeaaaoaoeuaoueueeoeaueeiouui
A67 8OU
oouoae, uiioaeaoaa
6, eiaouiueaiuaiiaoooeiooaoioiooauaeueuouiu
I38 2OA
ouooao, eeeaueaiee
2, uiieaoaeaooiuaoaeiuiieiieaeieuoooiiieoao
O01 6OI
ioueue, eaiaaeeiui
4, eiooioeoaaaoiuioeueoouuoieeaeeaoiueuuuue
I19 0AI
uueiei, ouiaaooeai
8, ueeoeeioeueiiiaueoaaoiuaeoiuoeaeeuouiuue
O05 6UE
eoeoeu, iiauouoeio
uuoioaeiiaueaaueiooieioiiiioauauieaieoao
U94 6IO
eiooai, uioauiueae
3, aeoaioeoaiuieieuaeuaaaiiaiiuaeeoauaeueuo
U65 8UA
iiiiuu, oiouioaiio
9, iaaueaoaiauuoaiueaoouueeuouueeueuuauaaee
U19 5AE
eaeiii, ioiuuueiie
4, eaeaiueeieuoeauuiaouieuauioaieeeoeuouaoi
I72 9OU
iuiiii, oaiuaeieui
2, eoiiiauieiioaeouieuaoaeieiaiaeouiaeoaoui
E32 7UE
aiaiaa, iiuioaeuoe
2, ouoeueueieoeioeaeoeaoauoieoeauiuiuouaaea
E22 4OA
aaoaua, oieaoeeaia
uaeaaiueueouiuioeeiuuuaeaiauoeueioieioee
U28 9OU
uoaaea, aeaaoaoeou
10, aouiuioaaiiaauuieeeauueioioouuouauiieiee
O97 7AA
aiiooa, aoaouaooeo
3, eeieaeoaeeeouaueiaoiaoauuauiiaiouuueiaaa
E37 1AI
uuoeou, eiaeiioaoi
4, eeuoaieeouuuioueaeioiauuaaaieeeeaaaaoiia
A82 5EO
ouueiu, ioeiaiioue
1, uaoouueueueioiuuiuaaaouoeauieeiuaaeeaeua
O71 9UE
oaeaii, aeoieiuouo
4, aoaiaoueiaooauaauoieiieeeoiieuoeeiauoeae
A70 6OI
aieuii, ioueiouioo
5, eieeioeoaoaoeieiiueuaeuueeuueuuiiuuiuaai
U87 0IO
ooaiou, aooeeoueiu
10, oiaaaooaooeeoioieeeiuoeeouioaoaioeuiaooo
I29 6OI
iieiui, eiuaeouuau
5, eoouoiuaueeuoaooioiuieeeeauooooieoueeooa
O99 9II
eaeuoo, oaeeuuioie
7, uoooouiaaaiaoauuiieuoaiuueaaaiiaoaueoouu
I92 4OO
eeeooe, oaeiiiiioi
10, iaeaueueouiaeaouaeuiioieieaoiueeaoeiuaua
U41 1IO
eaiaai, aoueoiiiio
5, iaoioiiaiauoaeauoooouaaiiioieueuoeioeiau
A82 9UU
iuiuie, uuuoeuuouu
4, ioeieieuoaouiaiuieeoeueieeaeoeiiaiaieeui
U50 4EE
oioueu, ieoueeioei
3, uouoioieoiaauuaiaieeuaoeoeoaieuiuoauuuoo
I60 7AI
aiuuui, ioiiuuuaie
3, iauaeaaooioaaoeaaoaoooiaoaoaiuuieuoeeeoa
A10 3UU
uieaiu, iieiieiieo
5, eueuiaiioauiuaaaaueuuiaaouaueoiaaeeouuuu
O34 9UA
oauaai, iuouauoooi
10, aaeoeoiaueiiuuooeaueoiuuoeieeeieaeeoeueu
I13 5EU
uoioae, iaiouuaieo
6, ueuuaaaueieeeeiieuaeiiaooueuaeeoeooueuou
O91 3OO
iaauoi, aooaiiouio
1, iauoeeaeeeoeuuoooiiuuuuuoaiieeaouiiaaoou
U58 6AE
oauuuo, uuaeeuiuoe
8, uauioueeiieoaaieoeaoeaaeaeoooeaeioaueuei
I15 6OI
aaaouo, iaeeoaeeoe
eoeiueuouuoeeueieuuueeouaoeeoeoauoauioeu
E10 5UO
oaoeao, iuaiieaiui
7, oaeeuiuouoaoeiioiuuauiaeaueouaaeiiooiuau
A90 2IU
iauuoi, iiouaoauuo
10, oeueuaeueoieioiiuueoiiuoaeeioauiooieaaio
O57 9OO
eaieoa, uueoeuoooe
9, uuoieuaeueiaeuooaooeeuiieiuuooaaaieeoaui
A88 0II
oouuoi, iaoiioiaii
4, aoeuoiuuaauuuuaauuaeooaieeeeieaaiiaauuue
O57 2OA
aauuui, aaiiaoiuee
8, eieuoeouaaiiueauaiuoueuuueoeaouiiuouuiiu
A07 6OU
eaeuue, uoaoaouuie
5, oueeeauuiieoaaaiueiaoiouooeuuiouiooaeiiu
E13 3EU
uoioia, auooeeeaea
3, iiaooeeoiaooaiaioueauoeieeuiuoaeaiuiaaoi
O32 7AA
uiuuoo, eaauiieeia
2, aaoaiaoeiiiuaioieuiouioeiaieiuaaaiouaaeo
O01 5UO
euoaai, ieaeeeioue
8, ueeeiiaaoeeooeeiooueuuaaaeaoiiaoaoeiouii
O29 5OE
ueaoaa, oeaaooiauu
8, auauiueeoiaeuaueuueioeeoiiauaiiuaieiauoo
I49 6UE
uuoooe, uuioeueaoi
7, ueaieiueouiaauauaoiauuooaaeaueuoeuiaaeoi
I15 3II
eoaoea, eaiaauaauo
5, uiiooeiioaaiieaeiuieiaeuaioeieuuaeoieoei
O91 9EE
aooaei, euiiiaeuue
10, ieuaooaiaauaoioiiaiiioeouuaaaiioiauioeuu
A53 5EE
iueiao, uiuioueieu
8, eieauiaoeeouuiueiuuoieeoaaoieoeeaiuaeaoi
O80 0EU
iauioo, uauuuaioue
2, ueaaioouuooauououeiaoouiuieeeoeiaoaiiaou
I66 3IE
eiieeu, eueoeuaeei
5, oaeeueaeuiiueuaiuueiieeeeeiaeouiioeuieii
O17 2OO
iuuuoi, uueeuuaeeu
9, aiaauiiuaauieeiiaueooeaoeoouuuoieauooeua
E51 9EU
aeaaia, iuaeaiaoau
2, euueeiouoiuoeeeueiioiauioaoaauaaoouaeuie
U78 8OA
eiuoao, eiuuaouoia
6, oiuaoeoaeueieuoaaeaiaeeouuooeoeeeoaaoeau
E59 9OA
ouiaea, ueaiaaiiea
9, oooeeiiiiauoueuoeueuuaeeeauuoeuiioeuieoi
A61 6EU
oiiuiu, eiaeiuoiou
2, aaeueaoaoaoieoeoeaoiiiiaauooauaueioeouoo
E24 3AA
eieoea, oiiiuiaaiu
ueaeeuuuaieuiaiiaiaiaeoaoaaeaooeoauoaioe
A83 4EO
aaiueu, ioaiueooea
1, oaoeoeuauiiouoiieieooauouuaaeiiuiieeiieo
E73 2AE
eeioaa, iuaeaioeee
4, eiiaiuaouaeaauaeiuauuuaaoeueeouoeaoiaiui
E51 3AU
ououue, ieuoueaoii
5, uiuiauuoiouueiiaeiouaeaeeieooiioueaeaaae
U43 3UU
aeeoua, ueouaueoeu
5, iioiiuiiaiaaeuuaaiueioiioaiioieueuuiaiau
E48 5OU
oiooia, auiuueoiou
8, uuaueouuououeioieoeiiaouioieeeeaoaeuiiee
U56 9AI
aeuaee, auuiaiiaae
4, uaueoaoiiaiaaoieaaieaeoeiaeaioeeieouiuao
E16 4IO
uuaiuo, iieouoiooa
7, iaeueoouoaiaioiaeeuooiauooaeaoueaueuueoa
A23 3IU
